,Accession,Host,Isolation Host
7942,MN234201,Mycobacterium,Unspecified
7943,MN234198,Mycobacterium,Unspecified
7944,MN234197,Mycobacterium,Unspecified
7945,MN234182,Mycobacterium,Unspecified
7946,MN234174,Mycobacterium,Unspecified
7947,MN234165,Mycobacterium,Unspecified
7948,MK494119,Mycobacterium,Unspecified
7949,MK460247,Mycobacterium,Unspecified
7950,MK460246,Mycobacterium,Unspecified
7951,MK376955,Mycobacterium,Unspecified
7952,MK112537,Mycobacterium,Unspecified
7953,MH910042,Mycobacterium,Unspecified
7954,MH910039,Mycobacterium,Unspecified
7955,MH910038,Mycobacterium,Unspecified
7956,MK016503,Mycobacterium,Unspecified
7957,MH727544,Mycobacterium,Unspecified
7958,MH697578,Mycobacterium,Unspecified
7959,MH513977,Mycobacterium,Unspecified
7960,MH536822,Mycobacterium,Unspecified
7961,MH536821,Mycobacterium,Unspecified
7962,MH509444,Mycobacterium,Unspecified
7963,MH399770,Mycobacterium,Unspecified
7964,MH371113,Mycobacterium,Unspecified
7965,MH077577,Mycobacterium,Unspecified
7966,MH051246,Mycobacterium,Unspecified
7967,MH020245,Mycobacterium,Unspecified
7968,MG962371,Mycobacterium,Unspecified
7969,MG962364,Mycobacterium,Unspecified
7970,MF919532,Mycobacterium,Unspecified
7971,MF919518,Mycobacterium,Unspecified
7972,MF472892,Mycobacterium,Unspecified
7973,MF668267,Mycobacterium,Unspecified
7974,MF140430,Mycobacterium,Unspecified
7975,MF140428,Mycobacterium,Unspecified
7976,MF140416,Mycobacterium,Unspecified
7977,MF140412,Mycobacterium,Unspecified
7978,MF185722,Mycobacterium,Unspecified
7979,MF377440,Mycobacterium,Unspecified
7980,KY380102,Mycobacterium,Unspecified
7981,KX808132,Mycobacterium,Unspecified
7982,KX657796,Mycobacterium,Unspecified
7983,KX657795,Mycobacterium,Unspecified
7984,KX657794,Mycobacterium,Unspecified
7985,KX641264,Mycobacterium,Unspecified
7986,KX585253,Mycobacterium,Unspecified
7987,KM677211,Mycobacterium,Unspecified
7988,KJ567045,Mycobacterium,Unspecified
7989,KF713486,Mycobacterium,Unspecified
7990,JN643714,Mycobacterium,Unspecified
7991,JF704105,Mycobacterium,Unspecified
7992,MW394467,Bacillus,Unspecified
7993,MW419087,Bacillus,Unspecified
7994,MW419086,Bacillus,Unspecified
7995,MW419085,Bacillus,Unspecified
7996,MW419084,Bacillus,Unspecified
7997,MW413353,Salmonella,Unspecified
7998,MW388005,Salmonella,Unspecified
7999,MW348917,Bacillus,Unspecified
8000,MW358931,Providencia,Unspecified
8001,MW358930,Providencia,Unspecified
8002,MW358929,Providencia,Unspecified
8003,MW358928,Providencia,Unspecified
8004,MW358927,Providencia,Unspecified
8005,MN929097,Parabacteroides,Unspecified
8006,MN917146,Bacteroides,Unspecified
8007,MW269554,Achromobacter,Unspecified
8008,MW291028,Mycobacterium,Unspecified
8009,MW291026,Microbacterium,Unspecified
8010,MW281503,Bacillus,Unspecified
8011,MW021758,Serratia,Unspecified
8012,MW021756,Cronobacter,Unspecified
8013,MW021748,Citrobacter,Unspecified
8014,MW021765,Klebsiella,Unspecified
8015,MW021763,Serratia,Unspecified
8016,MW021762,Klebsiella,Unspecified
8017,MW021761,Serratia,Unspecified
8018,MW021759,Serratia,Unspecified
8019,MW021755,Serratia,Unspecified
8020,MW021752,Klebsiella,Unspecified
8021,MW021751,Cronobacter,Unspecified
8022,MW021750,Citrobacter,Unspecified
8023,MW021749,Citrobacter,Unspecified
8024,MW055914,Microbacterium,Unspecified
8025,MW055911,Microbacterium,Unspecified
8026,MW055901,Gordonia,Unspecified
8027,MT740730,Ralstonia,Unspecified
8028,MW353181,Mycobacterium,Unspecified
8029,LC567842,Unspecified,Unspecified
8030,LC567841,Unspecified,Unspecified
8031,LC567840,Unspecified,Unspecified
8032,LC567839,Enterobacteria,Unspecified
8033,LC567838,Unspecified,Unspecified
8034,LC567837,Unspecified,Unspecified
8035,LC567836,Enterobacteria,Unspecified
8036,LC567835,Enterobacteria,Unspecified
8037,LC567834,Unspecified,Unspecified
8038,LC567833,Unspecified,Unspecified
8039,LC567832,Enterobacteria,Unspecified
8040,LC567831,Unspecified,Unspecified
8041,LC567830,Unspecified,Unspecified
8042,LC567829,Unspecified,Unspecified
8043,LC567828,Enterobacteria,Unspecified
8044,LC567827,Unspecified,Unspecified
8045,LC567826,Enterobacteria,Unspecified
8046,LC567825,Unspecified,Unspecified
8047,LC567824,Unspecified,Unspecified
8048,LC567823,Unspecified,Unspecified
8049,LC567822,Enterobacteria,Unspecified
8050,LC567821,Unspecified,Unspecified
8051,LC567820,Unspecified,Unspecified
8052,LC567819,Unspecified,Unspecified
8053,LC567818,Unspecified,Unspecified
8054,MW314859,Mycobacterium,Unspecified
8055,MW314858,Mycobacterium,Unspecified
8056,MW314857,Mycobacterium,Unspecified
8057,MW314856,Mycobacterium,Unspecified
8058,MW314855,Mycobacterium,Unspecified
8059,MW314854,Mycobacterium,Unspecified
8060,MW314853,Mycobacterium,Unspecified
8061,MW314852,Mycobacterium,Unspecified
8062,MW314851,Mycobacterium,Unspecified
8063,MW314848,Arthrobacter,Unspecified
8064,MW314846,Mycobacterium,Unspecified
8065,MW291016,Gordonia,Unspecified
8066,MH973725,Pseudomonas,Unspecified
8067,MT366761,Vibrio,Unspecified
8068,MT366760,Vibrio,Unspecified
8069,MT413450,Pseudomonas,Unspecified
8070,MT366762,Vibrio,Unspecified
8071,MT680615,Proteus,Unspecified
8072,MT682391,Aeromonas,Unspecified
8073,MT682390,Aeromonas,Unspecified
8074,MT682389,Aeromonas,Unspecified
8075,MT682388,Aeromonas,Unspecified
8076,MT682387,Aeromonas,Unspecified
8077,MT682386,Aeromonas,Unspecified
8078,KJ019091,Synechococcus,Unspecified
8079,KJ019058,Synechococcus,Unspecified
8080,KJ019052,Synechococcus,Unspecified
8081,MT310882,Mycobacterium,Unspecified
8082,MN945904,Mycobacterium,Unspecified
8083,MN892485,Gordonia,Unspecified
8084,MN813694,Gordonia,Unspecified
8085,MN369766,Gordonia,Unspecified
8086,MN369761,Mycobacterium,Unspecified
8087,MN369753,Gordonia,Unspecified
8088,MN428063,Gordonia,Unspecified
8089,MN428048,Gordonia,Unspecified
8090,MN284895,Mycobacterium,Unspecified
8091,MH479927,Gordonia,Unspecified
8092,MH479912,Gordonia,Unspecified
8093,MN096374,Microbacterium,Unspecified
8094,MN096363,Gordonia,Unspecified
8095,MK937609,Gordonia,Unspecified
8096,MK919477,Gordonia,Unspecified
8097,MK977699,Gordonia,Unspecified
8098,MK878903,Gordonia,Unspecified
8099,MK878898,Gordonia,Unspecified
8100,MK875797,Gordonia,Unspecified
8101,MK757446,Mycobacterium,Unspecified
8102,MK494121,Gordonia,Unspecified
8103,MK494109,Gordonia,Unspecified
8104,MK494106,Gordonia,Unspecified
8105,MK494098,Gordonia,Unspecified
8106,MK524488,Mycobacterium,Unspecified
8107,MK524485,Mycobacterium,Unspecified
8108,MK433275,Gordonia,Unspecified
8109,MK433272,Gordonia,Unspecified
8110,MK450435,Gordonia,Unspecified
8111,MK450430,Gordonia,Unspecified
8112,MK450428,Gordonia,Unspecified
8113,MK376962,Gordonia,Unspecified
8114,MK376960,Gordonia,Unspecified
8115,MK376954,Gordonia,Unspecified
8116,MK284520,Gordonia,Unspecified
8117,MK279848,Gordonia,Unspecified
8118,MK061410,Gordonia,Unspecified
8119,MH926059,Mycobacterium,Unspecified
8120,MH926058,Mycobacterium,Unspecified
8121,MH779510,Gordonia,Unspecified
8122,MH779508,Gordonia,Unspecified
8123,MH779501,Gordonia,Unspecified
8124,MH779499,Gordonia,Unspecified
8125,MH744424,Gordonia,Unspecified
8126,MH727552,Gordonia,Unspecified
8127,MH727547,Gordonia,Unspecified
8128,MH651185,Gordonia,Unspecified
8129,MH651171,Mycobacterium,Unspecified
8130,MH669013,Gordonia,Unspecified
8131,MH669007,Gordonia,Unspecified
8132,MH697592,Mycobacterium,Unspecified
8133,MH576976,Gordonia,Unspecified
8134,MH576966,Mycobacterium,Unspecified
8135,MH576960,Gordonia,Unspecified
8136,MH536824,Gordonia,Unspecified
8137,MH536819,Gordonia,Unspecified
8138,MH536812,Gordonia,Unspecified
8139,MH479923,Gordonia,Unspecified
8140,MH271318,Gordonia,Unspecified
8141,MH271305,Gordonia,Unspecified
8142,MH155867,Gordonia,Unspecified
8143,MH051258,Mycobacterium,Unspecified
8144,MH051255,Mycobacterium,Unspecified
8145,MH025889,Gordonia,Unspecified
8146,MG962374,Mycobacterium,Unspecified
8147,MH001447,Mycobacterium,Unspecified
8148,MG872834,Gordonia,Unspecified
8149,MG757166,Gordonia,Unspecified
8150,MG757157,Gordonia,Unspecified
8151,KT361920,Mycobacterium,Unspecified
8152,MG770214,Gordonia,Unspecified
8153,MG099940,Gordonia,Unspecified
8154,MG099935,Gordonia,Unspecified
8155,MG198784,Gordonia,Unspecified
8156,MG198783,Gordonia,Unspecified
8157,MF919542,Gordonia,Unspecified
8158,MF919510,Gordonia,Unspecified
8159,MF140402,Mycobacterium,Unspecified
8160,MF140435,Mycobacterium,Unspecified
8161,MF185720,Mycobacterium,Unspecified
8162,MF185719,Mycobacterium,Unspecified
8163,MF373841,Mycobacterium,Unspecified
8164,MF185717,Mycobacterium,Unspecified
8165,MF133445,Mycobacterium,Unspecified
8166,MF072690,Mycobacterium,Unspecified
8167,KY969628,Mycobacterium,Unspecified
8168,KY087992,Mycobacterium,Unspecified
8169,KX683428,Mycobacterium,Unspecified
8170,KX621007,Mycobacterium,Unspecified
8171,KX636165,Mycobacterium,Unspecified
8172,KX557287,Gordonia,Unspecified
8173,KX557273,Gordonia,Unspecified
8174,KU998254,Gordonia,Unspecified
8175,KU998253,Gordonia,Unspecified
8176,KU998252,Gordonia,Unspecified
8177,KU998243,Gordonia,Unspecified
8178,KU998242,Gordonia,Unspecified
8179,KU998241,Gordonia,Unspecified
8180,KU998240,Gordonia,Unspecified
8181,KU963258,Gordonia,Unspecified
8182,KU963257,Gordonia,Unspecified
8183,KT591076,Mycobacterium,Unspecified
8184,KR080206,Mycobacterium,Unspecified
8185,KM923971,Mycobacterium,Unspecified
8186,KP027199,Mycobacterium,Unspecified
8187,KM363596,Mycobacterium,Unspecified
8188,KJ944841,Mycobacterium,Unspecified
8189,KJ567042,Mycobacterium,Unspecified
8190,KF416342,Mycobacterium,Unspecified
8191,JF704112,Mycobacterium,Unspecified
8192,MN945905,Gordonia,Unspecified
8193,MN585963,Gordonia,Unspecified
8194,MN369740,Gordonia,Unspecified
8195,MN444874,Gordonia,Unspecified
8196,MN602268,Unspecified,Unspecified
8197,MN602267,Unspecified,Unspecified
8198,MN602266,Unspecified,Unspecified
8199,MN428057,Gordonia,Unspecified
8200,MN234179,Gordonia,Unspecified
8201,MK967390,Gordonia,Unspecified
8202,MK919470,Gordonia,Unspecified
8203,MK801728,Gordonia,Unspecified
8204,MK433267,Gordonia,Unspecified
8205,MK433265,Gordonia,Unspecified
8206,MK433263,Gordonia,Unspecified
8207,MK433261,Gordonia,Unspecified
8208,MK359302,Gordonia,Unspecified
8209,MH536818,Gordonia,Unspecified
8210,MG757155,Gordonia,Unspecified
8211,MG757152,Gordonia,Unspecified
8212,MF919521,Gordonia,Unspecified
8213,KU963245,Gordonia,Unspecified
8214,MT740731,Ralstonia,Unspecified
8215,MN284894,Streptomyces,Unspecified
8216,MN119376,Streptomyces,Unspecified
8217,MH450114,Arthrobacter,Unspecified
8218,MH155868,Streptomyces,Unspecified
8219,MG518520,Streptomyces,Unspecified
8220,MF668279,Arthrobacter,Unspecified
8221,MF668273,Arthrobacter,Unspecified
8222,MF668266,Arthrobacter,Unspecified
8223,LR811969,Salmonella,Unspecified
8224,LR811968,Salmonella,Unspecified
8225,LR811967,Salmonella,Unspecified
8226,LR800396,Salmonella,Unspecified
8227,MW091529,Unspecified,Unspecified
8228,MW091528,Unspecified,Unspecified
8229,KY798121,Pseudomonas,Unspecified
8230,KY798120,Pseudomonas,Unspecified
8231,KJ183193,Unspecified,Unspecified
8232,KJ183192,Unspecified,Unspecified
8233,KJ183191,Unspecified,Unspecified
8234,EF506570,Spiroplasma,Unspecified
8235,MT774405,Unspecified,Unspecified
8236,MT774404,Unspecified,Unspecified
8237,MT774394,Unspecified,Unspecified
8238,MT774393,Unspecified,Unspecified
8239,MT774392,Unspecified,Unspecified
8240,MT774391,Unspecified,Unspecified
8241,MT774390,Unspecified,Unspecified
8242,MT774389,Unspecified,Unspecified
8243,MT774388,Unspecified,Unspecified
8244,MT774387,Unspecified,Unspecified
8245,MT774386,Unspecified,Unspecified
8246,MT774385,Unspecified,Unspecified
8247,MT774384,Unspecified,Unspecified
8248,MT774383,Unspecified,Unspecified
8249,MT774382,Unspecified,Unspecified
8250,MT774381,Unspecified,Unspecified
8251,MT774380,Unspecified,Unspecified
8252,MT774379,Unspecified,Unspecified
8253,MT774378,Unspecified,Unspecified
8254,MT774377,Unspecified,Unspecified
8255,MT774376,Unspecified,Unspecified
8256,MT774375,Unspecified,Unspecified
8257,MT774411,Unspecified,Unspecified
8258,MT774410,Unspecified,Unspecified
8259,MT774409,Unspecified,Unspecified
8260,MT774408,Unspecified,Unspecified
8261,MT774407,Unspecified,Unspecified
8262,MT774406,Unspecified,Unspecified
8263,MT774403,Unspecified,Unspecified
8264,MT774402,Unspecified,Unspecified
8265,MT774401,Unspecified,Unspecified
8266,MT774400,Unspecified,Unspecified
8267,MT774399,Unspecified,Unspecified
8268,MT774398,Unspecified,Unspecified
8269,MT774397,Unspecified,Unspecified
8270,MT774396,Unspecified,Unspecified
8271,MT774395,Unspecified,Unspecified
8272,MW067003,Unspecified,Unspecified
8273,MW067002,Unspecified,Unspecified
8274,MW067001,Unspecified,Unspecified
8275,MW067000,Unspecified,Unspecified
8276,MT986027,Microbacterium,Unspecified
8277,MT986026,Microbacterium,Unspecified
8278,KC109329,Escherichia,Unspecified
8279,MT889387,Arthrobacter,Unspecified
8280,MT889377,Microbacterium,Unspecified
8281,MT889364,Arthrobacter,Unspecified
8282,MT740738,Ralstonia,Unspecified
8283,LR877332,Shigella,Unspecified
8284,LR877331,Klebsiella,Unspecified
8285,LR757892,Klebsiella,Unspecified
8286,LR746311,Shigella,Unspecified
8287,LR746310,Klebsiella,Unspecified
8288,LR746137,Escherichia,Unspecified
8289,MT833283,Escherichia,Unspecified
8290,MT992243,Acinetobacter,Unspecified
8291,MT952005,Aeromonas,Unspecified
8292,MT952846,Microbacterium,Unspecified
8293,MN788369,Dickeya,Unspecified
8294,MT192033,Unspecified,Chlorobiaceae bacterium strain GSB-B
8295,KY053532,Unspecified,Unspecified
8296,MT818425,Mycobacterium,Unspecified
8297,MT818418,Mycobacterium,Unspecified
8298,MT947439,Protaetiibacter,Unspecified
8299,MT771346,Gordonia,Unspecified
8300,MT771344,Microbacterium,Unspecified
8301,MT771341,Gordonia,Unspecified
8302,MT771339,Gordonia,Unspecified
8303,MT757399,Enterococcus,Unspecified
8304,MT740245,Proteus,Unspecified
8305,MT740244,Proteus,Unspecified
8306,KJ489402,Bacillus,Unspecified
8307,KJ489401,Bacillus,Unspecified
8308,KJ489400,Bacillus,Unspecified
8309,KJ489399,Bacillus,Unspecified
8310,KJ489398,Bacillus,Unspecified
8311,MK756096,Flavobacterium,Unspecified
8312,MK756095,Flavobacterium,Unspecified
8313,MK756094,Flavobacterium,Unspecified
8314,MK756093,Flavobacterium,Unspecified
8315,MK756092,Flavobacterium,Unspecified
8316,MK756091,Flavobacterium,Unspecified
8317,MK756090,Flavobacterium,Unspecified
8318,MK756089,Flavobacterium,Unspecified
8319,MK756088,Flavobacterium,Unspecified
8320,MK756087,Flavobacterium,Unspecified
8321,MK756086,Flavobacterium,Unspecified
8322,MK756085,Flavobacterium,Unspecified
8323,MK756084,Flavobacterium,Unspecified
8324,MK756083,Flavobacterium,Unspecified
8325,MH598512,Bacillus,Unspecified
8326,MN908690,Microbacterium,Unspecified
8327,MN586050,Mycobacterium,Unspecified
8328,MN586044,Mycobacterium,Unspecified
8329,MN586041,Mycobacterium,Unspecified
8330,MN586035,Mycobacterium,Unspecified
8331,MN586034,Mycobacterium,Unspecified
8332,MN586019,Mycobacterium,Unspecified
8333,MN586017,Mycobacterium,Unspecified
8334,MN369752,Mycobacterium,Unspecified
8335,MN369751,Mycobacterium,Unspecified
8336,MN234213,Gordonia,Unspecified
8337,MN234185,Mycobacterium,Unspecified
8338,MN234183,Mycobacterium,Unspecified
8339,MN234219,Mycobacterium,Unspecified
8340,MK937596,Microbacterium,Unspecified
8341,MK919474,Microbacterium,Unspecified
8342,MK977714,Corynebacterium,Unspecified
8343,MK977712,Corynebacterium,Unspecified
8344,MK977701,Mycobacterium,Unspecified
8345,MK801723,Gordonia,Unspecified
8346,MK737942,Microbacterium,Unspecified
8347,MK814759,Gordonia,Unspecified
8348,MK433279,Mycobacterium,Unspecified
8349,MK433277,Mycobacterium,Unspecified
8350,MK376961,Gordonia,Unspecified
8351,MH910041,Arthrobacter,Unspecified
8352,MH926061,Corynebacterium,Unspecified
8353,MH834628,Arthrobacter,Unspecified
8354,MH834625,Arthrobacter,Unspecified
8355,MH834623,Arthrobacter,Unspecified
8356,MH834614,Arthrobacter,Unspecified
8357,MH834611,Arthrobacter,Unspecified
8358,MH834605,Arthrobacter,Unspecified
8359,MH834603,Arthrobacter,Unspecified
8360,MH834597,Arthrobacter,Unspecified
8361,MH834594,Arthrobacter,Unspecified
8362,MH834598,Arthrobacter,Unspecified
8363,MH727560,Corynebacterium,Unspecified
8364,MH536823,Microbacterium,Unspecified
8365,MH399779,Microbacterium,Unspecified
8366,MH371108,Microbacterium,Unspecified
8367,MH371109,Microbacterium,Unspecified
8368,MH271316,Microbacterium,Unspecified
8369,MH271310,Microbacterium,Unspecified
8370,MH271307,Microbacterium,Unspecified
8371,MH271300,Microbacterium,Unspecified
8372,KX557279,Gordonia,Unspecified
8373,KU160671,Arthrobacter,Unspecified
8374,KU160648,Arthrobacter,Unspecified
8375,MT024859,Gordonia,Unspecified
8376,MN369747,Microbacterium,Unspecified
8377,MK967377,Gordonia,Unspecified
8378,MK977715,Corynebacterium,Unspecified
8379,MK937613,Corynebacterium,Unspecified
8380,MK977710,Corynebacterium,Unspecified
8381,MK977706,Corynebacterium,Unspecified
8382,MK894438,Microbacterium,Unspecified
8383,MK757449,Microbacterium,Unspecified
8384,MK308638,Microbacterium,Unspecified
8385,MK284521,Gordonia,Unspecified
8386,MK016500,Arthrobacter,Unspecified
8387,MK016490,Arthrobacter,Unspecified
8388,MK801733,Gordonia,Unspecified
8389,MK112550,Streptomyces,Unspecified
8390,MG663586,Streptomyces,Unspecified
8391,MG663585,Streptomyces,Unspecified
8392,MG663584,Streptomyces,Unspecified
8393,MG663583,Streptomyces,Unspecified
8394,MG663582,Streptomyces,Unspecified
8395,MG518519,Streptomyces,Unspecified
8396,MG515223,Streptomyces,Unspecified
8397,KX557275,Gordonia,Unspecified
8398,KU998248,Gordonia,Unspecified
8399,MT496971,Escherichia,Unspecified
8400,MT747435,Enterococcus,Unspecified
8401,MT747434,Enterococcus,Unspecified
8402,MT833282,Escherichia,Unspecified
8403,MT936332,Streptomyces,Unspecified
8404,MT684602,Mycobacterium,Unspecified
8405,MT684587,Microbacterium,Unspecified
8406,MT758689,Lactobacillus,Unspecified
8407,MT758688,Mycobacterium,Unspecified
8408,MT679222,Proteus,Unspecified
8409,MT679223,Proteus,Unspecified
8410,MT679221,Proteus,Unspecified
8411,MT657344,Microbacterium,Unspecified
8412,MT657343,Microbacterium,Unspecified
8413,MT657334,Microbacterium,Unspecified
8414,MT767883,Vibrio,Unspecified
8415,MT723942,Gordonia,Unspecified
8416,MT711890,Pseudomonas,Unspecified
8417,MT711889,Pseudomonas,Unspecified
8418,MT496970,Escherichia,Unspecified
8419,MT496969,Escherichia,Unspecified
8420,MT711979,Streptomyces,Unspecified
8421,MT711978,Streptomyces,Unspecified
8422,MT711975,Streptomyces,Unspecified
8423,MT711977,Streptomyces,Unspecified
8424,MT711976,Streptomyces,Unspecified
8425,MN393473,Shigella,Unspecified
8426,MT700412,Bacillus,Unspecified
8427,MT778840,Rhizobium,Unspecified
8428,MT778839,Rhizobium,Unspecified
8429,MT778838,Rhizobium,Unspecified
8430,MT778837,Rhizobium,Unspecified
8431,MT740741,Ralstonia,Unspecified
8432,MT740733,Ralstonia,Unspecified
8433,MT740732,Ralstonia,Unspecified
8434,MT740727,Ralstonia,Unspecified
8435,MT740747,Ralstonia,Unspecified
8436,MT740746,Ralstonia,Unspecified
8437,MT740745,Ralstonia,Unspecified
8438,MT740744,Ralstonia,Unspecified
8439,MT740743,Ralstonia,Unspecified
8440,MT740742,Ralstonia,Unspecified
8441,MT740740,Ralstonia,Unspecified
8442,MT740739,Ralstonia,Unspecified
8443,MT740737,Ralstonia,Unspecified
8444,MT740736,Ralstonia,Unspecified
8445,MT740735,Ralstonia,Unspecified
8446,MT740734,Ralstonia,Unspecified
8447,MT740729,Ralstonia,Unspecified
8448,MT740728,Ralstonia,Unspecified
8449,MT740726,Ralstonia,Unspecified
8450,MT740725,Ralstonia,Unspecified
8451,MT601274,Bacillus,Unspecified
8452,MT601273,Bacillus,Unspecified
8453,MT601272,Bacillus,Unspecified
8454,MT601271,Bacillus,Unspecified
8455,MT601270,Bacillus,Unspecified
8456,MT795651,Vibrio,Unspecified
8457,MT491208,Pseudomonas,Unspecified
8458,MT491207,Pseudomonas,Unspecified
8459,MT491206,Pseudomonas,Unspecified
8460,MT491205,Pseudomonas,Unspecified
8461,MT491204,Pseudomonas,Unspecified
8462,LR026998,Salmonella,Unspecified
8463,MT661596,Proteus,Unspecified
8464,MT720689,Vibrio,Unspecified
8465,MT533174,Escherichia,Unspecified
8466,MT597419,Pseudomonas,Unspecified
8467,MT409116,Acinetobacter,Unspecified
8468,CAJDKA010000002,Enterococcus,Unspecified
8469,CAJDJZ010000002,Enterococcus,Unspecified
8470,CAJDJY010000002,Enterococcus,Unspecified
8471,CAJCJZ010000002,Enterococcus,Unspecified
8472,CAJDJX010000002,Enterococcus,Unspecified
8473,CAJDKF010000002,Enterococcus,Unspecified
8474,CAJDKB010000002,Enterococcus,Unspecified
8475,MT584805,Bacillus,Unspecified
8476,MT682716,Escherichia,Unspecified
8477,MT682715,Escherichia,Unspecified
8478,MT682714,Escherichia,Unspecified
8479,MT682713,Escherichia,Unspecified
8480,MT682712,Escherichia,Unspecified
8481,MT682711,Escherichia,Unspecified
8482,MT682710,Escherichia,Unspecified
8483,MT682709,Escherichia,Unspecified
8484,MT682708,Escherichia,Unspecified
8485,MT682707,Escherichia,Unspecified
8486,MT682706,Escherichia,Unspecified
8487,MT682705,Escherichia,Unspecified
8488,LR794124,Vibrio,Unspecified
8489,MT498063,Microbacterium,Unspecified
8490,MT498062,Microbacterium,Unspecified
8491,MT498049,Microbacterium,Unspecified
8492,MN067430,Escherichia,Unspecified
8493,LR597660,Escherichia,Unspecified
8494,LR597659,Escherichia,Unspecified
8495,LR597657,Escherichia,Unspecified
8496,LR597655,Escherichia,Unspecified
8497,LR597653,Escherichia,Unspecified
8498,LR597652,Escherichia,Unspecified
8499,LR597651,Escherichia,Unspecified
8500,LR597650,Escherichia,Unspecified
8501,LR597648,Escherichia,Unspecified
8502,LR597646,Escherichia,Unspecified
8503,LR597644,Escherichia,Unspecified
8504,LR597643,Escherichia,Unspecified
8505,LR597639,Escherichia,Unspecified
8506,LR597636,Escherichia,Unspecified
8507,LR597635,Escherichia,Unspecified
8508,MH181876,Salmonella,Unspecified
8509,MT457553,Shewanella,Unspecified
8510,NC_010463,Unspecified,Salmonella typhimurium LT2
8511,LR797923,Unspecified,Unspecified
8512,LR813619,Aeromonas,Unspecified
8513,NC_010393,Unspecified,Salmonella typhimurium LT2
8514,MT451983,Microbacterium,Unspecified
8515,MT451984,Microbacterium,Unspecified
8516,MT554104,Staphylococcus,Unspecified
8517,MG727701,Paenibacillus,Unspecified
8518,MT553343,Microbacterium,Unspecified
8519,MT553340,Microbacterium,Unspecified
8520,MN862347,Unspecified,Sedum sarmentosum Bunge.
8521,MN862346,Unspecified,Kummerowia striata
8522,MN862345,Unspecified,Kummerowia striata
8523,MN862344,Unspecified,Kummerowia striata
8524,MN862343,Unspecified,Kummerowia striata
8525,MN862342,Unspecified,Kummerowia striata
8526,MN862341,Unspecified,Kummerowia striata
8527,MN862340,Unspecified,Kummerowia striata
8528,MN862339,Unspecified,Kummerowia striata
8529,MN862338,Unspecified,Kummerowia striata
8530,MN862337,Unspecified,Kummerowia striata
8531,MN862336,Unspecified,Kummerowia striata
8532,MN862335,Unspecified,Kummerowia striata
8533,MN862334,Unspecified,Trichosanthes kirilowii
8534,MN862333,Unspecified,Trichosanthes kirilowii
8535,MT006214,Unspecified,Unspecified
8536,MT425185,Klebsiella,Unspecified
8537,MT411892,Staphylococcus,Unspecified
8538,AP018814,Enterobacteria,Unspecified
8539,AP018813,Escherichia,Unspecified
8540,MT457552,Shewanella,Unspecified
8541,MK387869,Providencia,Unspecified
8542,MT104475,Pseudomonas,Unspecified
8543,MT104473,Pseudomonas,Unspecified
8544,MT104476,Pseudomonas,Unspecified
8545,MT104477,Pseudomonas,Unspecified
8546,MT104472,Pseudomonas,Unspecified
8547,MT104471,Pseudomonas,Unspecified
8548,MT104470,Pseudomonas,Unspecified
8549,MT104469,Pseudomonas,Unspecified
8550,MT104468,Pseudomonas,Unspecified
8551,MT104466,Pseudomonas,Unspecified
8552,MT104465,Pseudomonas,Unspecified
8553,MK931297,Escherichia,Unspecified
8554,MN478376,Ralstonia,Unspecified
8555,MK450538,Staphylococcus,Unspecified
8556,MT331608,Escherichia,Unspecified
8557,LT615366,Enterococcus,Unspecified
8558,MT310873,Microbacterium,Unspecified
8559,MT310866,Microbacterium,Unspecified
8560,MT310861,Microbacterium,Unspecified
8561,MT310856,Microbacterium,Unspecified
8562,MT310855,Microbacterium,Unspecified
8563,MT310851,Microbacterium,Unspecified
8564,LT603684,Pseudomonas,Unspecified
8565,LR794152,Unspecified,Unspecified
8566,LR794151,Unspecified,Unspecified
8567,LR794150,Unspecified,Unspecified
8568,LR794149,Unspecified,Unspecified
8569,LR794148,Hamiltonella,Unspecified
8570,LR794147,Unspecified,Unspecified
8571,LR794146,Unspecified,Unspecified
8572,MH491969,Escherichia,Unspecified
8573,MH491968,Escherichia,Unspecified
8574,MT121964,Unspecified,bacteria
8575,MT121960,Unspecified,bacteria
8576,MT151386,Staphylococcus,Unspecified
8577,MN379651,Unspecified,Gallus gallus
8578,MN379650,Unspecified,Gallus gallus
8579,MN379649,Unspecified,Gallus gallus
8580,MN379648,Unspecified,Gallus gallus
8581,MN379647,Unspecified,Gallus gallus
8582,MN379646,Unspecified,Gallus gallus
8583,MN379645,Unspecified,Gallus gallus
8584,MN379644,Unspecified,Gallus gallus
8585,MN379643,Unspecified,Gallus gallus
8586,MN379642,Unspecified,Gallus gallus
8587,MN379641,Unspecified,Gallus gallus
8588,MN379640,Unspecified,Gallus gallus
8589,MN379639,Unspecified,Gallus gallus
8590,MN379638,Unspecified,Gallus gallus
8591,MN379637,Unspecified,Gallus gallus
8592,MN379636,Unspecified,Gallus gallus
8593,MN379635,Unspecified,Gallus gallus
8594,MN379634,Unspecified,Gallus gallus
8595,MN379633,Unspecified,Gallus gallus
8596,MN379632,Unspecified,Gallus gallus
8597,MN379631,Unspecified,Gallus gallus
8598,MN379630,Unspecified,Gallus gallus
8599,MN379629,Unspecified,Gallus gallus
8600,MN994499,Unspecified,Unspecified
8601,MT176424,Citrobacter,Unspecified
8602,MN013084,Klebsiella,Unspecified
8603,MN013077,Klebsiella,Unspecified
8604,JX080302,Staphylococcus,Unspecified
