Achromobacter xylosoxidans
Pseudomonas aeruginosa CN573
Salmonella sp.
Nostoc sp.
Microcystis sp.
Escherichia coli
Escherichia coli
Campylobacter coli CAN 10
Mycolicobacterium smegmatis mc(2)155
Methanosarcina mazei Go1
Methanosarcina mazei Go1
Methanosarcina mazei Go1
Salmonella enterica subsp. enterica serovar Weltevreden SA161
Pseudomonas aeruginosa PAO1
Klebsiella oxytoca clinical isolate
Salmonella enterica subsp. enterica serovar Enteritidis
Bacteroides intestinalis DSM 108646
Bacteroides intestinalis DSM 108646
Bacteroides intestinalis DSM 108646
Aeromonas hydrophila MTCC 1739
Pseudomonas carnis; Pseudomonas lactis
Vibrio cyclitrophicus
Pseudomonas aeruginosa
Klebsiella sp.
Klebsiella sp.
Pseudomonas aeruginosa ATCC 27853
Pseudomonas aeruginosa PAO1
Stenotrophomonas maltophilia c9
methicillin-resistant Staphylococcus aureus
Vibrio parahaemolyticus
Klebsiella pneumoniae resistant mutant R3
Klebsiella pneumoniae resistant mutant R4
Klebsiella pneumoniae resistant mutant R2
Klebsiella pneumoniae resistant mutant R6
Ralstonia solanacearum species complex
Shigella dysenteriae CMCC(B)51105
Campylobacter jejuni
Campylobacter sp.
Stenotrophomonas maltophilia 2355
Escherichia Coli
Vibrio parahaemolyticus
Pseudomonas aeruginosa
Campylobacter jejuni NCTC12658
Salmonella sp.
Citrobacter freundii
Klebsiella pneumoniae M212-2
Cutibacterium acnes
Halomonas meridiana
Klebsiella pneumoniae kp3
Staphylococcus aureus CCARM 3089
Synechococcus sp.
Actinomycetia bacterium
Synechococcus sp.
Synechococcus sp.
Acinetobacter baumannii
Vibrio parahaemolyticus NCCP 13714
Serratia sp. c4_92
Arthrobacter sp. c7_119
Listeria innocua ATCC 51742
Vibrio parahaemolyticus KACC 15069
Pseudomonas aeruginosa PA001
Pseudomonas otitidis NK1
Acinetobacter baumannii Ab4
Pseudomonas aeruginosa PAO1
Escherichia coli
Escherichia coli GAM+7
Pseudomonas aeruginosa PAO1
Pseudomonas aeruginosa Paer40
Pseudomonas aeruginosa Paer50
Saccharolobus shibatae 1201-1
Bacillus subtilis KACC 10114
Bacillus subtilis KACC 10114
Bacillus subtilis ATCC 33677
Bacillus subtilis ATCC 21336
Bacillus subtilis ATCC 14593
Bacillus subtilis KACC 17797
Bacillus subtilis KACC 17797
Bacillus subtilis KACC 17797
Bacillus subtilis KCCM 11780
Bacillus subtilis KACC 17797
Pseudomonas aeruginosa
Bacillus cereus
Acinetobacter nosocomialis
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Klebsiella pneumoniae
Klebsiella pneumoniae
Klebsiella pneumoniae
Klebsiella pneumoniae
Klebsiella pneumoniae
Escherichia coli
Escherichia coli
Escherichia coli GXXWH2
Staphylococcus aureus
Alicyclobacillus acidoterrestris strain KKP 3133
Xanthomonas sp.
Pseudomonas aeruginosa
Vibrio cholerae
Salmonella enterica subsp. enterica serovar Pullorum
Escherichia coli
Cutibacterium acnes 11827
Listeria monocytogenes
Klebsiella pneumoniae
Klebsiella pneumoniae
Klebsiella pneumoniae
Klebsiella pneumoniae
Proteus mirabilis UFV
Proteus mirabilis UFV
Escherichia coli N1203-2Af
Klebsiella pneumoniae AE2 seroptype K54
Enterocloster bolteae Q14
Salmonella sp.
Pseudomonas aeruginosa ATCC 27853
Riemerella anatipestifer RAf490
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Acinetobacter baumannii 4 (Ab4)
Riemerella anatipestifer RAf71
Klebsiella sp.
Klebsiella sp.
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Bacillus subtilis BEST7003
Escherichia coli O177
Escherichia coli O177
Escherichia coli O177
Escherichia coli O177
Escherichia coli O177
Escherichia coli O177
Escherichia coli O177
Enterococcus faecium 374iF1 (22)
Streptococcus agalactiae smyh01
Escherichia coli str. K-12 substr. MG1655
Escherichia coli str. K-12 substr. MG1655
Listeria monocytogenes
Escherichia coli str. K-12 substr. MG1655
Salmonella sp.
Salmonella sp.
Enterococcus faecium 4995/20
Enterococcus faecium 4995/20
Riemerella anatipestifer RAf63
Escherichia coli
Escherichia coli
Escherichia coli str. K-12 substr. DH10B
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Pseudomonas aeruginosa strain 3-38
Pseudomonas aeruginosa strain 3-38
Pseudomonas aeruginosa strain 3-38
Pseudomonas aeruginosa strain 1-13
Pseudomonas aeruginosa strain 1-13
Pseudomonas aeruginosa strain 1-13
Shewanella
Stutzerimonas stutzeri NCTC10475
Stutzerimonas stutzeri NCTC10475
Stutzerimonas stutzeri
Acinetobacter baumannii
Staphylococcus aureus Newman
Staphylococcus aureus SH100
Pseudomonas aeruginosa DSM 50071
Pseudomonas aeruginosa DSM 50071
Lysinibacillus fusiformis GAM2
Streptomyces phage MulchMansion
Salmonella enterica subsp. enterica serovar Enteritidis
Chryseobacterium indologenes MA9
Pseudomonas aeruginosa
Dickeya solani
Pseudomonas protegens CEMTC 4060
