species,Gram stain,Genus
Edaphobacter dinghuensis,negative,Edaphobacter
Edaphobacter lichenicola,negative,Edaphobacter
Edaphobactr flagellatus,negative,Edaphobactr
Edaphobaculum flavum,negative,Edaphobaculum
Edaphocola flava,negative,Edaphocola
Ehrlichia minasensis,negative,Ehrlichia
Ehrlichia muris,negative,Ehrlichia
Ehrlichia muris subsp. eauclairensis,negative,Ehrlichia
Eilatimonas milleporae,negative,Eilatimonas
Ekhidna lutea,negative,Ekhidna
Elioraea tepidiphila,negative,Elioraea
Elstera cyanobacteriorum,negative,Elstera
Elstera litoralis,negative,Elstera
Paremcibacter congregatus,negative,Paremcibacter
Empedobacter tilapiae,negative,Empedobacter
Emticicia agri,negative,Emticicia
Emticicia aquatilis,negative,Emticicia
Emticicia fontis,negative,Emticicia
Emticicia ginsengisoli,negative,Emticicia
Emticicia oligotrophica,negative,Emticicia
Emticicia paludis,negative,Emticicia
Emticicia soli,negative,Emticicia
Endobacter medicaginis,negative,Endobacter
Endothiovibrio diazotrophicus,negative,Endothiovibrio
Endozoicomonas acroporae,negative,Endozoicomonas
Endozoicomonas euniceicola,negative,Endozoicomonas
Endozoicomonas gorgoniicola,negative,Endozoicomonas
Endozoicomonas montiporae,negative,Endozoicomonas
Endozoicomonas numazuensis,negative,Endozoicomonas
Ensifer alkalisoli,negative,Ensifer
Ensifer aridi,negative,Ensifer
Ensifer garamanticus,negative,Ensifer
Ensifer glycinis,negative,Ensifer
Ensifer numidicus,negative,Ensifer
Enterobacter bugandensis,negative,Enterobacter
Enterobacter chuandaensis,negative,Enterobacter
Enterobacter huaxiensis,negative,Enterobacter
Enterobacter mori,negative,Enterobacter
Enterobacter sichuanensis,negative,Enterobacter
Enterovibrio baiacu,negative,Enterovibrio
Enterovibrio coralii,negative,Enterovibrio
Enterovibrio nigricans,negative,Enterovibrio
Veronia pacifica,negative,Veronia
Ephemeroptericola cinctiostellae,negative,Ephemeroptericola
Epibacterium ulvae,negative,Epibacterium
Erwinia endophytica,negative,Erwinia
Erwinia gerundensis,negative,Erwinia
Erwinia papayae,negative,Erwinia
Erwinia piriflorinigrans,negative,Erwinia
Erwinia toletana,negative,Erwinia
Erwinia typographi,negative,Erwinia
Erwinia uzenensis,negative,Erwinia
Qipengyuania aquimaris,negative,Qipengyuania
Aurantiacibacter aquimixticola,negative,Aurantiacibacter
Aurantiacibacter arachoides,negative,Aurantiacibacter
Qipengyuania gaetbuli,negative,Qipengyuania
Aurantiacibacter gangjinensis,negative,Aurantiacibacter
Parerythrobacter jejuensis,negative,Parerythrobacter
Erythrobacter litoralis,negative,Erythrobacter
Erythrobacter mangrovi,negative,Erythrobacter
Aurantiacibacter marinus,negative,Aurantiacibacter
Qipengyuania marisflavi,negative,Qipengyuania
Qipengyuania nanhaisediminis,negative,Qipengyuania
Qipengyuania pelagi,negative,Qipengyuania
Qipengyuania seohaensis,negative,Qipengyuania
Erythrobacter ramosus,negative,Erythrobacter
Escherichia coli,negative,Escherichia
Eubacterium sulci,negative,Eubacterium
Eudoraea adriatica,negative,Eudoraea
Euzebyella algicola,negative,Euzebyella
Euzebyella marina,negative,Euzebyella
Euzebyella saccharophila,negative,Euzebyella
Exilispira thermophila,negative,Exilispira
Extensimonas vulgaris,negative,Extensimonas
Roseivirga halotolerans,negative,Roseivirga
Roseivirga thermotolerans,negative,Roseivirga
Facilibium subflavum,negative,Facilibium
Falcatimonas natans,negative,Falcatimonas
Falsigemmobacter faecalis,negative,Falsigemmobacter
Falsirhodobacter halotolerans,negative,Falsirhodobacter
Falsochrobactrum ovis,negative,Falsochrobactrum
Fangia hongkongensis,negative,Fangia
Fermentimonas caenicola,negative,Fermentimonas
Ferrigenium kumadai,negative,Ferrigenium
Ferrimicrobium acidiphilum,negative,Ferrimicrobium
Ferrimonas gelatinilytica,negative,Ferrimonas
Ferrimonas marina,negative,Ferrimonas
Ferrimonas pelagia,negative,Ferrimonas
Ferrimonas sediminum,negative,Ferrimonas
Ferrimonas senticii,negative,Ferrimonas
Ferrithrix thermotolerans,negative,Ferrithrix
Ferrovibrio soli,negative,Ferrovibrio
Ferruginibacter alkalilentus,negative,Ferruginibacter
Ferruginibacter lapsinanis,negative,Ferruginibacter
Ferruginivarius sediminum,negative,Ferruginivarius
Fervidicella metallireducens,negative,Fervidicella
Fervidicola ferrireducens,negative,Fervidicola
Fervidobacterium changbaicum,negative,Fervidobacterium
Fervidobacterium nodosum,negative,Fervidobacterium
Fibrella aestuarina,negative,Fibrella
Fibrisoma montanum,negative,Fibrisoma
Filimonas aquilariae,negative,Filimonas
Arvibacter aurantiibacter,negative,Arvibacter
Filimonas lacunae,negative,Filimonas
Filimonas zeae,negative,Filimonas
Filobacterium rodentium,negative,Filobacterium
Filomicrobium insigne,negative,Filomicrobium
Muricauda algicola,negative,Muricauda
Muricauda koreensis,negative,Muricauda
Muricauda eckloniae,negative,Muricauda
Flammeovirga kamogawensis,negative,Flammeovirga
Flammeovirga pacifica,negative,Flammeovirga
Flaviaesturariibacter flavus,negative,Flaviaesturariibacter
Flaviaestuariibacter luteus,negative,Flaviaestuariibacter
Flaviaestuariibacter terrae,negative,Flaviaestuariibacter
Flavimaricola marinus,negative,Flavimaricola
Flavimarina flava,negative,Flavimarina
Flavipsychrobacter stenotrophus,negative,Flavipsychrobacter
Flaviramulus aestuariivivens,negative,Flaviramulus
Flavisolibacter ginsengisoli,negative,Flavisolibacter
Flavisolibacter ginsengiterrae,negative,Flavisolibacter
Flavisolibacter metallilatus,negative,Flavisolibacter
Flavisolibacter nicotianae,negative,Flavisolibacter
Flavisolibacter tropicus,negative,Flavisolibacter
Flavitalea antarctica,negative,Flavitalea
Flavitalea gansuensis,negative,Flavitalea
Flavitalea soli,negative,Flavitalea
Flavivirga amylovorans,negative,Flavivirga
Flavivirga aquimarina,negative,Flavivirga
Flavivirga eckloniae,negative,Flavivirga
Flavivirga jejuensis,negative,Flavivirga
Flavobacterium aciduliphilum,negative,Flavobacterium
Flavobacterium ajazii,negative,Flavobacterium
Flavobacterium akiainvivens,negative,Flavobacterium
Flavobacterium album,negative,Flavobacterium
Flavobacterium algicola,negative,Flavobacterium
Flavobacterium alvei,negative,Flavobacterium
Flavobacterium amnicola,negative,Flavobacterium
Flavobacterium amniphilum,negative,Flavobacterium
Myroides anatoliensis,negative,Myroides
Flavobacterium anhuiense,negative,Flavobacterium
Flavobacterium antarcticum,negative,Flavobacterium
Flavobacterium aquaticum,negative,Flavobacterium
Flavobacterium aquicola,negative,Flavobacterium
Flavobacterium aquidurense,negative,Flavobacterium
Flavobacterium araucananum,negative,Flavobacterium
Flavobacterium arcticum,negative,Flavobacterium
Flavobacterium ardleyense,negative,Flavobacterium
Flavobacterium artemisiae,negative,Flavobacterium
Flavobacterium aurantiibacter,negative,Flavobacterium
Flavobacterium beibuense,negative,Flavobacterium
Flavobacterium brevivitae,negative,Flavobacterium
Flavobacterium caeni,negative,Flavobacterium
Flavobacterium cerinum,negative,Flavobacterium
Myroides ceti,negative,Myroides
Flavobacterium cheniae,negative,Flavobacterium
Flavobacterium cheongpyeongense,negative,Flavobacterium
Flavobacterium chilense,negative,Flavobacterium
Flavobacterium chuncheonense,negative,Flavobacterium
Flavobacterium chungangense,negative,Flavobacterium
Myroides cloacae,negative,Myroides
Flavobacterium collinsense,negative,Flavobacterium
Flavobacterium commune,negative,Flavobacterium
Flavobacterium compostarboris,negative,Flavobacterium
Flavobacterium crassostreae,negative,Flavobacterium
Flavobacterium croceum,negative,Flavobacterium
Flavobacterium crocinum,negative,Flavobacterium
Flavobacterium cucumis,negative,Flavobacterium
Flavobacterium cutihirudinis,negative,Flavobacterium
Flavobacterium cyanobacteriorum,negative,Flavobacterium
Flavobacterium daejeonense,negative,Flavobacterium
Flavobacterium dankookense,negative,Flavobacterium
Flavobacterium defluvii,negative,Flavobacterium
Flavobacterium degerlachei,negative,Flavobacterium
Flavobacterium denitrificans,negative,Flavobacterium
Flavobacterium dispersum,negative,Flavobacterium
Flavobacterium dongtanense,negative,Flavobacterium
Flavobacterium effusum,negative,Flavobacterium
Flavobacterium enshiense,negative,Flavobacterium
Flavobacterium filum,negative,Flavobacterium
Flavobacterium flaviflagrans,negative,Flavobacterium
Flavobacterium flevense,negative,Flavobacterium
Flavobacterium fluminis,negative,Flavobacterium
Flavobacterium fluvii,negative,Flavobacterium
Flavobacterium foetidum,negative,Flavobacterium
Flavobacterium fontis,negative,Flavobacterium
Flavobacterium frigoris,negative,Flavobacterium
Flavobacterium fryxellicola,negative,Flavobacterium
Flavobacterium fulvum,negative,Flavobacterium
Flavobacterium gilvum,negative,Flavobacterium
Flavobacterium ginsengisoli,negative,Flavobacterium
Flavobacterium glycines,negative,Flavobacterium
Flavobacterium gossypii,negative,Flavobacterium
Flavobacterium granuli,negative,Flavobacterium
Flavobacterium hankyongi,negative,Flavobacterium
Flavobacterium haoranii,negative,Flavobacterium
Flavobacterium hauense,negative,Flavobacterium
Flavobacterium hercynium,negative,Flavobacterium
Flavobacterium hibisci,negative,Flavobacterium
Flavobacterium humicola,negative,Flavobacterium
Flavobacterium hydatis,negative,Flavobacterium
Flavobacterium hydrophilum,negative,Flavobacterium
Flavobacterium inkyongense,negative,Flavobacterium
Flavobacterium johnsoniae subsp. johnsoniae,negative,Flavobacterium
Flavobacterium jumunjinense,negative,Flavobacterium
Flavobacterium keumense,negative,Flavobacterium
Flavobacterium kingsejongi,negative,Flavobacterium
Flavobacterium lacicola,negative,Flavobacterium
Flavobacterium lacunae,negative,Flavobacterium
Flavobacterium laiguense,negative,Flavobacterium
Flavobacterium limi,negative,Flavobacterium
Flavobacterium limnosediminis,negative,Flavobacterium
Flavobacterium lindanitolerans,negative,Flavobacterium
Flavobacterium luteum,negative,Flavobacterium
Flavobacterium luticocti,negative,Flavobacterium
Flavobacterium lutivivi,negative,Flavobacterium
Flavobacterium magnum,negative,Flavobacterium
Myroides aquimaris,negative,Myroides
Flavobacterium micromati,negative,Flavobacterium
Flavobacterium myungsuense,negative,Flavobacterium
Flavobacterium nackdongense,negative,Flavobacterium
Flavobacterium naphtae,negative,Flavobacterium
Flavobacterium nitratireducens,negative,Flavobacterium
Flavobacterium noncentrifugens,negative,Flavobacterium
Flavobacterium olei,negative,Flavobacterium
Flavobacterium ovatum,negative,Flavobacterium
Flavobacterium pallidum,negative,Flavobacterium
Flavobacterium paronense,negative,Flavobacterium
Flavobacterium pectinovorum,negative,Flavobacterium
Flavobacterium pedocola,negative,Flavobacterium
Flavobacterium phocarum,negative,Flavobacterium
Flavobacterium piscinae,negative,Flavobacterium
Flavobacterium ponti,negative,Flavobacterium
Flavobacterium psychrolimnae,negative,Flavobacterium
Flavobacterium psychrophilum,negative,Flavobacterium
Flavobacterium quisquiliarum,negative,Flavobacterium
Flavobacterium rakeshii,negative,Flavobacterium
Flavobacterium ranwuense,negative,Flavobacterium
Flavobacterium reichenbachii,negative,Flavobacterium
Flavobacterium resistens,negative,Flavobacterium
Flavobacterium riviphilum,negative,Flavobacterium
Flavobacterium rivuli,negative,Flavobacterium
Flavobacterium saccharophilum,negative,Flavobacterium
Flavobacterium saliperosum,negative,Flavobacterium
Flavobacterium sasangense,negative,Flavobacterium
Flavobacterium sediminilitoris,negative,Flavobacterium
Flavobacterium sediminis,negative,Flavobacterium
Flavobacterium segetis,negative,Flavobacterium
Flavobacterium silvisoli,negative,Flavobacterium
Flavobacterium sinopsychrotolerans,negative,Flavobacterium
Flavobacterium soli,negative,Flavobacterium
Flavobacterium soyangense,negative,Flavobacterium
Flavobacterium squillarum,negative,Flavobacterium
Flavobacterium suaedae,negative,Flavobacterium
Flavobacterium subsaxonicum,negative,Flavobacterium
Flavobacterium sufflavum,negative,Flavobacterium
Flavobacterium suncheonense,negative,Flavobacterium
Flavobacterium swingsii,negative,Flavobacterium
Flavobacterium terrae,negative,Flavobacterium
Flavobacterium terrigena,negative,Flavobacterium
Flavobacterium terriphilum,negative,Flavobacterium
Flavobacterium tiangeerense,negative,Flavobacterium
Flavobacterium tibetense,negative,Flavobacterium
Flavobacterium tilapiae,negative,Flavobacterium
Flavobacterium tistrianum,negative,Flavobacterium
Flavobacterium tyrosinilyticum,negative,Flavobacterium
Flavobacterium ummariense,negative,Flavobacterium
Flavobacterium urumqiense,negative,Flavobacterium
Flavobacterium ustbae,negative,Flavobacterium
Flavobacterium verecundum,negative,Flavobacterium
Flavobacterium weaverense,negative,Flavobacterium
Flavobacterium xueshanense,negative,Flavobacterium
Flavobacterium yanchengense,negative,Flavobacterium
Flavobacterium yonginense,negative,Flavobacterium
Flectobacillus fontis,negative,Flectobacillus
Flectobacillus lacus,negative,Flectobacillus
Flectobacillus pallidus,negative,Flectobacillus
Flectobacillus roseus,negative,Flectobacillus
Flexilinea flocculi,negative,Flexilinea
Fluviicoccus keumensis,negative,Fluviicoccus
Fluviicola chungangensis,negative,Fluviicola
Fluviicola kyonggii,negative,Fluviicola
Fluviicola taffensis,negative,Fluviicola
Fluviimonas pallidilutea,negative,Fluviimonas
Fodinibius salinus,negative,Fodinibius
Fodinicurvata fenggangensis,negative,Fodinicurvata
Fodinicurvata sediminis,negative,Fodinicurvata
Fontibacter ferrireducens,negative,Fontibacter
Fontibacter flavus,negative,Fontibacter
Fontimonas thermophila,negative,Fontimonas
Formosa agariphila,negative,Formosa
Formosa algae,negative,Formosa
Formosa undariae,negative,Formosa
Formosimonas limnophila,negative,Formosimonas
Fournierella massiliensis,negative,Fournierella
Franconibacter daqui,negative,Franconibacter
Franconibacter helveticus,negative,Franconibacter
Franconibacter pulveris,negative,Franconibacter
Frateuria defendens,negative,Frateuria
Frateuria terrea,negative,Frateuria
Fretibacter rubidus,negative,Fretibacter
Fretibacterium fastidiosum,negative,Fretibacterium
Frischella perrara,negative,Frischella
Frondibacter mangrovi,negative,Frondibacter
Fuchsiella alkaliacetigena,negative,Fuchsiella
Fulvibacter tottoriensis,negative,Fulvibacter
Fulvimarina pelagi,negative,Fulvimarina
Fulvitalea axinellae,negative,Fulvitalea
Fulvivirga imtechensis,negative,Fulvivirga
Fulvivirga kasyanovii,negative,Fulvivirga
Fulvivirga lutimaris,negative,Fulvivirga
Fundidesulfovibrio butyratiphilus,negative,Fundidesulfovibrio
Fundidesulfovibrio putealis,negative,Fundidesulfovibrio
Fusobacterium animalis,negative,Fusobacterium
Fusobacterium vincentii,negative,Fusobacterium
Gaetbulibacter aestuarii,negative,Gaetbulibacter
Gaetbulibacter aquiaggeris,negative,Gaetbulibacter
Gaetbulibacter lutimaris,negative,Gaetbulibacter
Gaetbulibacter marinus,negative,Gaetbulibacter
Gaetbulibacter saemankumensis,negative,Gaetbulibacter
Galbibacter marinus,negative,Galbibacter
Galbibacter mesophilus,negative,Galbibacter
Galenea microaerophila,negative,Galenea
Gallaecimonas pentaromativorans,negative,Gallaecimonas
Gallaecimonas xiamenensis,negative,Gallaecimonas
Gangjinia marincola,negative,Gangjinia
Gardnerella leopoldii,negative,Gardnerella
Gardnerella piotii,negative,Gardnerella
Gardnerella swidsinskii,negative,Gardnerella
Gelatiniphilus marinus,negative,Gelatiniphilus
Gelidibacter gilvus,negative,Gelidibacter
Gelidibacter salicanalis,negative,Gelidibacter
Gellertiella hungarica,negative,Gellertiella
Gemmobacter aestuarii,negative,Gemmobacter
Gemmobacter aquaticus,negative,Gemmobacter
Gemmobacter caeni,negative,Gemmobacter
Gemmobacter fontiphilus,negative,Gemmobacter
Gemmobacter lanyuensis,negative,Gemmobacter
Gemmobacter lutimaris,negative,Gemmobacter
Gemmobacter nanjingensis,negative,Gemmobacter
Gemmobacter nectariphilus,negative,Gemmobacter
Gemmobacter straminiformis,negative,Gemmobacter
Gemmobacter tilapiae,negative,Gemmobacter
Geoalkalibacter subterraneus,negative,Geoalkalibacter
Geobacter psychrophilus,negative,Geobacter
Geotalea uraniireducens,negative,Geotalea
Geofilum rhodophaeum,negative,Geofilum
Geofilum rubicundum,negative,Geofilum
Geomobilimonas luticola,negative,Geomobilimonas
Geomonas bemidjiensis,negative,Geomonas
Geomonas soli,negative,Geomonas
Geotalea daltonii,negative,Geotalea
Geotalea toluenoxydans,negative,Geotalea
Gibbsiella dentisursi,negative,Gibbsiella
Giesbergeria kuznetsovii,negative,Giesbergeria
Giesbergeria voronezhensis,negative,Giesbergeria
Gilliamella apicola,negative,Gilliamella
Gilliamella apis,negative,Gilliamella
Gillisia hiemivivida,negative,Gillisia
Gillisia illustrilutea,negative,Gillisia
Gillisia limnaea,negative,Gillisia
Gillisia marina,negative,Gillisia
Gillisia myxillae,negative,Gillisia
Gillisia sandarakina,negative,Gillisia
Gilvibacter sediminis,negative,Gilvibacter
Gilvimarinus chinensis,negative,Gilvimarinus
Gilvimarinus japonicus,negative,Gilvimarinus
Gimesia alba,negative,Gimesia
Gimesia algae,negative,Gimesia
Gimesia aquarii,negative,Gimesia
Gimesia fumaroli,negative,Gimesia
Gimesia panareensis,negative,Gimesia
Glaciecola pallidula,negative,Glaciecola
Glaciecola sp.,negative,Glaciecola
Glaciimonas frigoris,negative,Glaciimonas
Glaciimonas singularis,negative,Glaciimonas
Glaciimonas soli,negative,Glaciimonas
Glaesserella parasuis,negative,Glaesserella
Gluconacetobacter aggeris,negative,Gluconacetobacter
Gluconacetobacter asukensis,negative,Gluconacetobacter
Gluconacetobacter azotocaptans,negative,Gluconacetobacter
Gluconacetobacter johannae,negative,Gluconacetobacter
Gluconacetobacter sacchari,negative,Gluconacetobacter
Gluconacetobacter takamatsuzukensis,negative,Gluconacetobacter
Gluconacetobacter tumulicola,negative,Gluconacetobacter
Gluconacetobacter tumulisoli,negative,Gluconacetobacter
Gluconobacter frateurii,negative,Gluconobacter
Gluconobacter japonicus,negative,Gluconobacter
Gluconobacter oxydans,negative,Gluconobacter
Glycocaulis abyssi,negative,Glycocaulis
Gracilimonas amylolytica,negative,Gracilimonas
Gracilimonas halophila,negative,Gracilimonas
Gracilimonas mengyeensis,negative,Gracilimonas
Gracilimonas rosea,negative,Gracilimonas
Gracilimonas tropica,negative,Gracilimonas
Gramella aestuarii,negative,Gramella
Gramella echinicola,negative,Gramella
Gramella forsetii,negative,Gramella
Gramella gaetbulicola,negative,Gramella
Gramella marina,negative,Gramella
Gramella portivictoriae,negative,Gramella
Gramella salexigens,negative,Gramella
Gramella sediminilitoris,negative,Gramella
Granulibacter bethesdensis,negative,Granulibacter
Granulicella aggregans,negative,Granulicella
Granulicella arctica,negative,Granulicella
Granulicella mallensis,negative,Granulicella
Granulicella paludicola,negative,Granulicella
Granulicella pectinivorans,negative,Granulicella
Granulicella rosea,negative,Granulicella
Granulicella sapmiensis,negative,Granulicella
Granulicella sibirica,negative,Granulicella
Granulicella tundricola,negative,Granulicella
Granulosicoccus coccoides,negative,Granulosicoccus
Grimontia celeris,negative,Grimontia
Gulbenkiania indica,negative,Gulbenkiania
Gulbenkiania mobilis,negative,Gulbenkiania
Guyparkeria halophila,negative,Guyparkeria
Guyparkeria hydrothermalis,negative,Guyparkeria
Gynuella sunshinyii,negative,Gynuella
Gynurincola endophyticus,negative,Gynurincola
Haemophilus parainfluenzae,negative,Haemophilus
Hafnia paralvei,negative,Hafnia
Hahella ganghwensis,negative,Hahella
Haladaptatus cibarius,negative,Haladaptatus
Haladaptatus litoreus,negative,Haladaptatus
Halalkalibacter urbisdiaboli,negative,Halalkalibacter
Halanaeroarchaeum sulfurireducens,negative,Halanaeroarchaeum
Halanaerobacter jeridensis,negative,Halanaerobacter
Halarchaeum acidiphilum,negative,Halarchaeum
Halarchaeum nitratireducens,negative,Halarchaeum
Halarchaeum rubridurum,negative,Halarchaeum
Halarchaeum salinum,negative,Halarchaeum
Haliea salexigens,negative,Haliea
Halioglobus japonicus,negative,Halioglobus
Pseudohalioglobus lutimaris,negative,Pseudohalioglobus
Halioglobus pacificus,negative,Halioglobus
Seongchinamella sediminis,negative,Seongchinamella
Haloarchaeobius baliensis,negative,Haloarchaeobius
Haloarchaeobius iranensis,negative,Haloarchaeobius
Haloarcula salaria,negative,Haloarcula
Haloarcula sebkhae,negative,Haloarcula
Haloarcula tradensis,negative,Haloarcula
Halobacteriovorax vibrionivorans,negative,Halobacteriovorax
Halobacterium litoreum,negative,Halobacterium
Halobacterium salinarum,negative,Halobacterium
Halobaculum magnesiiphilum,negative,Halobaculum
Halobaculum roseum,negative,Halobaculum
Halobellus captivus,negative,Halobellus
Halobellus inordinatus,negative,Halobellus
Halobellus limi,negative,Halobellus
Halobellus salinus,negative,Halobellus
Halochromatium roseum,negative,Halochromatium
Halococcus hamelinensis,negative,Halococcus
Halococcus salsus,negative,Halococcus
Halocynthiibacter namhaensis,negative,Halocynthiibacter
Halodesulfovibrio marinisediminis,negative,Halodesulfovibrio
Halodesulfovibrio spirochaetisodalis,negative,Halodesulfovibrio
Haloferax elongans,negative,Haloferax
Haloferax larsenii,negative,Haloferax
Haloferax mucosum,negative,Haloferax
Haloferula chungangensis,negative,Haloferula
Haloferula harenae,negative,Haloferula
Haloferula helveola,negative,Haloferula
Haloferula luteola,negative,Haloferula
Haloferula phyci,negative,Haloferula
Haloferula rosea,negative,Haloferula
Haloferula sargassicola,negative,Haloferula
Halofilum ochraceum,negative,Halofilum
Halogeometricum limi,negative,Halogeometricum
Halogeometricum pallidum,negative,Halogeometricum
Halogeometricum rufum,negative,Halogeometricum
Halogranum rubrum,negative,Halogranum
Halolamina salifodinae,negative,Halolamina
Halolamina salina,negative,Halolamina
Halomicroarcula pellucida,negative,Halomicroarcula
Halomicrobium mukohataei,negative,Halomicrobium
Halomicrobium zhouii,negative,Halomicrobium
Halomonas aestuarii,negative,Halomonas
Halomonas alimentaria,negative,Halomonas
Halomonas alkalicola,negative,Halomonas
Halomonas almeriensis,negative,Halomonas
Halomonas andesensis,negative,Halomonas
Halomonas anticariensis,negative,Halomonas
Halomonas aquamarina,negative,Halomonas
Halomonas arcis,negative,Halomonas
Halomonas axialensis,negative,Halomonas
Halomonas beimenensis,negative,Halomonas
Halomonas boliviensis,negative,Halomonas
Halomonas caseinilytica,negative,Halomonas
Halomonas cerina,negative,Halomonas
Halomonas daqingensis,negative,Halomonas
Halomonas denitrificans,negative,Halomonas
Halomonas endophytica,negative,Halomonas
Halomonas fontilapidosi,negative,Halomonas
Halomonas garicola,negative,Halomonas
Halomonas gomseomensis,negative,Halomonas
Halomonas gudaonensis,negative,Halomonas
Halomonas hamiltonii,negative,Halomonas
Halomonas hydrothermalis,negative,Halomonas
Halomonas ilicicola,negative,Halomonas
Halomonas janggokensis,negative,Halomonas
Halomonas johnsoniae,negative,Halomonas
Halomonas koreensis,negative,Halomonas
Halomonas korlensis,negative,Halomonas
Halomonas kribbensis,negative,Halomonas
Halomonas litopenaei,negative,Halomonas
Halomonas lutea,negative,Halomonas
Halomonas lutescens,negative,Halomonas
Halomonas magadiensis,negative,Halomonas
Halomonas malpeensis,negative,Halomonas
Halomonas marinisediminis,negative,Halomonas
Halomonas meridiana,negative,Halomonas
Halomonas neptunia,negative,Halomonas
Halomonas nigrificans,negative,Halomonas
Halomonas nitroreducens,negative,Halomonas
Halomonas organivorans,negative,Halomonas
Halomonas ramblicola,negative,Halomonas
Halomonas sabkhae,negative,Halomonas
Halomonas saccharevitans,negative,Halomonas
Halomonas salifodinae,negative,Halomonas
Halomonas saliphila,negative,Halomonas
Halomonas sambharensis,negative,Halomonas
Halomonas sediminicola,negative,Halomonas
Halomonas shengliensis,negative,Halomonas
Halomonas smyrnensis,negative,Halomonas
Halomonas stevensii,negative,Halomonas
Halomonas subterranea,negative,Halomonas
Halomonas sulfidaeris,negative,Halomonas
Halomonas taeanensis,negative,Halomonas
Halomonas titanicae,negative,Halomonas
Halomonas urumqiensis,negative,Halomonas
Halomonas ventosae,negative,Halomonas
Halomonas vilamensis,negative,Halomonas
Halomonas xianhensis,negative,Halomonas
Halomonas xinjiangensis,negative,Halomonas
Halomonas zhanjiangensis,negative,Halomonas
Halomonas zincidurans,negative,Halomonas
Halonotius aquaticus,negative,Halonotius
Halonotius pteroides,negative,Halonotius
Haloparvum alkalitolerans,negative,Haloparvum
Haloparvum sedimenti,negative,Haloparvum
Halopelagius fulvigenes,negative,Halopelagius
Halopelagius inordinatus,negative,Halopelagius
Halopelagius longus,negative,Halopelagius
Halopenitus malekzadehii,negative,Halopenitus
Halopenitus persicus,negative,Halopenitus
Halopiger aswanensis,negative,Halopiger
Natrinema salifodinae,negative,Natrinema
Halopiger thermotolerans,negative,Halopiger
Haloplanus natans,negative,Haloplanus
Haloplanus rallus,negative,Haloplanus
Haloplanus salinarum,negative,Haloplanus
Haloplanus vescus,negative,Haloplanus
Halorhabdus tiamatea,negative,Halorhabdus
Halorientalis pallida,negative,Halorientalis
Halorubrum aethiopicum,negative,Halorubrum
Halorubrum aidingense,negative,Halorubrum
Halorubrum californiense,negative,Halorubrum
Halorubrum ezzemoulense,negative,Halorubrum
Halorubrum kocurii,negative,Halorubrum
Halorubrum lipolyticum,negative,Halorubrum
Halorubrum luteum,negative,Halorubrum
Halorubrum pallidum,negative,Halorubrum
Halorubrum trueperi,negative,Halorubrum
Halorussus halophilus,negative,Halorussus
Halomicrobium urmianum,negative,Halomicrobium
Halosimplex rubrum,negative,Halosimplex
Halospina denitrificans,negative,Halospina
Halostagnicola kamekurae,negative,Halostagnicola
Halostagnicola larsenii,negative,Halostagnicola
Halostella limicola,negative,Halostella
Halostella salina,negative,Halostella
Natrinema thermotolerans,negative,Natrinema
Natrinema limicola,negative,Natrinema
Natrinema longum,negative,Natrinema
Natrinema mahii,negative,Natrinema
Haloterrigena salina,negative,Haloterrigena
Halothiobacillus neapolitanus,negative,Halothiobacillus
Halovenus aranensis,negative,Halovenus
Halovibrio denitrificans,negative,Halovibrio
Halovivax asiaticus,negative,Halovivax
Hankyongella ginsenosidimutans,negative,Hankyongella
Hansschlegelia beijingensis,negative,Hansschlegelia
Hansschlegelia zhihuaiae,negative,Hansschlegelia
Pseudobizionia ponticola,negative,Pseudobizionia
Haoranjiania flava,negative,Haoranjiania
Harryflintia acetispora,negative,Harryflintia
Hasllibacter halocynthiae,negative,Hasllibacter
Helicobacter apri,negative,Helicobacter
Helicobacter baculiformis,negative,Helicobacter
Helicobacter cynogastricus,negative,Helicobacter
Helicobacter equorum,negative,Helicobacter
Helicobacter fennelliae,negative,Helicobacter
Helicobacter heilmannii,negative,Helicobacter
Campylobacter pylori,negative,Campylobacter
Helicobacter suis,negative,Helicobacter
Heliimonas saccharivorans,negative,Heliimonas
Hellea balneolensis,negative,Hellea
Henriciella algicola,negative,Henriciella
Henriciella aquimarina,negative,Henriciella
Henriciella barbarensis,negative,Henriciella
Henriciella litoralis,negative,Henriciella
Henriciella marina,negative,Henriciella
Henriciella pelagia,negative,Henriciella
Herbaspirillum aquaticum,negative,Herbaspirillum
Herbaspirillum camelliae,negative,Herbaspirillum
Herbaspirillum chlorophenolicum,negative,Herbaspirillum
Herbaspirillum hiltneri,negative,Herbaspirillum
Herbaspirillum piri,negative,Herbaspirillum
Herbaspirillum rhizosphaerae,negative,Herbaspirillum
Herbaspirillum robiniae,negative,Herbaspirillum
Herminiimonas arsenicoxydans,negative,Herminiimonas
Herminiimonas contaminans,negative,Herminiimonas
Herminiimonas glaciei,negative,Herminiimonas
Herminiimonas saxobsidens,negative,Herminiimonas
Herpetosiphon gulosus,negative,Herpetosiphon
Heyndrickxia oleronia,negative,Heyndrickxia
Hippea alviniae,negative,Hippea
Hippea jasoniae,negative,Hippea
Hirschia baltica,negative,Hirschia
Hirschia litorea,negative,Hirschia
Hirschia maritima,negative,Hirschia
Hoeflea alexandrii,negative,Hoeflea
Huanghella arctica,negative,Huanghella
Humidesulfovibrio arcticus,negative,Humidesulfovibrio
